País    ;Estado           ;Estado Tránsito      ;Factura compra;Foto;Declaración;Prueba entrega;Consolidado;Das;Fecha registro;Fecha ingreso;Tiempo para foto;Delta foto-registro datos;Delta registro datos-ubicación bodega;Delta ubicación bodega-tránsito;Tiempo en bodega
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;Si            ;No         ;No ;21/01/2022    ;1/02/2022    ;22,18           ;106,27                   ;                                     ;                               ;0,09
Colombia;Entregado        ;En reparto           ;No            ;No  ;Si         ;Si            ;No         ;No ;22/01/2022    ;10/02/2022   ;                ;                         ;                                     ;                               ;0,5
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;No            ;No         ;No ;23/01/2022    ;14/02/2022   ;1437,15         ;79,5                     ;                                     ;                               ;1,05
Colombia;Entregado        ;En reparto           ;No            ;No  ;Si         ;No            ;No         ;No ;24/01/2022    ;8/02/2022    ;                ;                         ;                                     ;                               ;0,65
Colombia;Entregado        ;En aduana            ;No            ;No  ;Si         ;Si            ;No         ;No ;24/01/2022    ;8/02/2022    ;                ;                         ;                                     ;                               ;0,37
Colombia;Entregado        ;En aduana            ;Si            ;No  ;Si         ;Si            ;No         ;No ;24/01/2022    ;1/02/2022    ;                ;                         ;                                     ;                               ;0,47
Colombia;Entregado        ;En aduana            ;No            ;No  ;Si         ;No            ;No         ;No ;24/01/2022    ;3/02/2022    ;                ;                         ;74,1                                 ;1,18                           ;1,61
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;No            ;No         ;No ;24/01/2022    ;7/02/2022    ;247,11          ;1032,11                  ;                                     ;                               ;0,89
Colombia;Entregado        ;En aduana            ;Si            ;No  ;Si         ;Si            ;No         ;No ;24/01/2022    ;8/02/2022    ;                ;                         ;                                     ;                               ;0,44
Colombia;Entregado        ;Entregado a aerolínea;Si            ;No  ;Si         ;Si            ;No         ;No ;24/01/2022    ;9/02/2022    ;                ;                         ;                                     ;                               ;0,39
Colombia;Entregado        ;En reparto           ;No            ;No  ;Si         ;No            ;No         ;No ;25/01/2022    ;14/02/2022   ;                ;                         ;                                     ;                               ;17,41
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;No            ;No         ;No ;25/01/2022    ;23/02/2022   ;1603,11         ;960,98                   ;                                     ;                               ;1,78
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;25/01/2022    ;2/02/2022    ;3,12            ;16,43                    ;                                     ;                               ;0,01
Colombia;Entregado        ;Retenido             ;No            ;No  ;No         ;Si            ;No         ;No ;25/01/2022    ;1/02/2022    ;                ;                         ;                                     ;                               ;35,67
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;Si            ;No         ;No ;25/01/2022    ;1/02/2022    ;26,22           ;102,71                   ;                                     ;                               ;0,09
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;No            ;No         ;No ;26/01/2022    ;8/02/2022    ;                ;                         ;                                     ;                               ;
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;No            ;No         ;No ;26/01/2022    ;8/02/2022    ;91,05           ;117,02                   ;                                     ;                               ;0,14
Colombia;Entregado        ;En aduana            ;No            ;No  ;Si         ;Si            ;No         ;No ;26/01/2022    ;1/02/2022    ;                ;                         ;124,87                               ;0,96                           ;1,19
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;Si            ;No         ;No ;26/01/2022    ;8/02/2022    ;1448,55         ;76,16                    ;                                     ;                               ;1,06
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;No            ;No         ;No ;26/01/2022    ;9/02/2022    ;260,04          ;193,28                   ;                                     ;                               ;0,31
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;26/01/2022    ;1/02/2022    ;69,49           ;1320,05                  ;                                     ;                               ;0,96
Colombia;Entregado        ;En aduana            ;No            ;No  ;Si         ;Si            ;No         ;No ;26/01/2022    ;3/02/2022    ;                ;                         ;                                     ;                               ;0,38
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;Si            ;No         ;No ;26/01/2022    ;1/02/2022    ;8,22            ;133,66                   ;                                     ;                               ;0,1
Colombia;Entregado        ;Entregado a aerolínea;No            ;Si  ;Si         ;Si            ;No         ;No ;26/01/2022    ;1/02/2022    ;57,25           ;38,25                    ;75,27                                ;2,92                           ;3,04
Colombia;Entregado        ;En aduana            ;No            ;No  ;Si         ;No            ;No         ;No ;26/01/2022    ;18/02/2022   ;                ;                         ;                                     ;                               ;0,44
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;No            ;No         ;No ;27/01/2022    ;1/02/2022    ;79,02           ;62,75                    ;                                     ;                               ;0,1
Colombia;Entregado        ;En aduana            ;No            ;No  ;Si         ;Si            ;No         ;No ;27/01/2022    ;1/02/2022    ;                ;                         ;                                     ;                               ;0,32
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;27/01/2022    ;1/02/2022    ;50,09           ;39,12                    ;                                     ;                               ;0,06
Colombia;Entregado        ;En aduana            ;Si            ;Si  ;Si         ;No            ;No         ;No ;27/01/2022    ;7/02/2022    ;1312,54         ;44,95                    ;                                     ;                               ;0,94
Colombia;En Tránsito      ;En reparto           ;No            ;Si  ;Si         ;No            ;No         ;No ;27/01/2022    ;1/02/2022    ;265,41          ;128,32                   ;1075,53                              ;0,19                           ;1,22
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;Si            ;No         ;No ;27/01/2022    ;1/02/2022    ;21,89           ;23,5                     ;                                     ;                               ;0,03
Colombia;En Tránsito      ;En reparto           ;No            ;No  ;Si         ;No            ;No         ;No ;27/01/2022    ;1/02/2022    ;                ;                         ;31,67                                ;1,02                           ;1,06
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;No            ;No         ;No ;27/01/2022    ;1/02/2022    ;15,69           ;7,18                     ;363,14                               ;7,95                           ;8,22
Colombia;En Tránsito      ;En reparto           ;No            ;Si  ;Si         ;No            ;No         ;No ;27/01/2022    ;1/02/2022    ;262,69          ;125,97                   ;1077,32                              ;0,19                           ;1,21
Colombia;Entregado        ;En aduana            ;No            ;No  ;Si         ;Si            ;No         ;No ;27/01/2022    ;4/02/2022    ;                ;                         ;                                     ;                               ;0,5
Colombia;Entregado        ;En aduana            ;Si            ;Si  ;Si         ;Si            ;No         ;No ;27/01/2022    ;1/02/2022    ;284,68          ;1055,42                  ;                                     ;                               ;0,93
Colombia;Entregado        ;En aduana            ;No            ;No  ;Si         ;No            ;No         ;No ;27/01/2022    ;2/02/2022    ;                ;                         ;                                     ;                               ;0,4
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;No            ;No         ;No ;27/01/2022    ;7/02/2022    ;37,36           ;1239,88                  ;                                     ;                               ;0,89
Colombia;Entregado        ;En aduana            ;No            ;No  ;Si         ;Si            ;No         ;No ;27/01/2022    ;4/02/2022    ;                ;                         ;                                     ;                               ;3,48
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;Si            ;No         ;No ;27/01/2022    ;2/02/2022    ;77,77           ;17,09                    ;                                     ;                               ;0,07
Colombia;Entregado        ;En reparto           ;Si            ;Si  ;Si         ;Si            ;No         ;No ;28/01/2022    ;2/02/2022    ;62,61           ;30,72                    ;                                     ;                               ;0,06
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;28/01/2022    ;1/02/2022    ;85,48           ;41,42                    ;                                     ;                               ;0,09
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;Si            ;No         ;No ;28/01/2022    ;1/02/2022    ;262,77          ;1063,02                  ;                                     ;                               ;0,92
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;28/01/2022    ;1/02/2022    ;13,92           ;79,6                     ;                                     ;                               ;0,06
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;28/01/2022    ;1/02/2022    ;210,91          ;1146,76                  ;111,11                               ;0,19                           ;1,21
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;28/01/2022    ;2/02/2022    ;82,98           ;28,38                    ;                                     ;                               ;0,08
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;28/01/2022    ;1/02/2022    ;272,3           ;1052,27                  ;                                     ;                               ;0,92
Colombia;Entregado        ;En reparto           ;No            ;No  ;Si         ;No            ;No         ;No ;28/01/2022    ;1/02/2022    ;                ;                         ;100,42                               ;1,16                           ;1,25
Colombia;Entregado        ;En aduana            ;Si            ;No  ;Si         ;Si            ;No         ;No ;28/01/2022    ;4/02/2022    ;                ;                         ;                                     ;                               ;0,49
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;Si            ;No         ;No ;28/01/2022    ;1/02/2022    ;74,82           ;15,61                    ;                                     ;                               ;0,06
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;Si            ;No         ;No ;28/01/2022    ;1/02/2022    ;4,64            ;56,05                    ;                                     ;                               ;0,04
Colombia;Entregado        ;En aduana            ;No            ;No  ;Si         ;Si            ;No         ;No ;28/01/2022    ;1/02/2022    ;                ;                         ;                                     ;                               ;0,6
Colombia;En Tránsito      ;En aduana            ;No            ;Si  ;Si         ;No            ;No         ;No ;28/01/2022    ;3/02/2022    ;99,73           ;1,41                     ;20,92                                ;5,16                           ;5,25
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;28/01/2022    ;3/02/2022    ;74,88           ;3,62                     ;30,75                                ;6,15                           ;6,23
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;28/01/2022    ;3/02/2022    ;88,13           ;1,79                     ;31,76                                ;1,13                           ;1,22
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;28/01/2022    ;3/02/2022    ;104,07          ;2,52                     ;3,32                                 ;4,14                           ;4,22
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;28/01/2022    ;3/02/2022    ;87,87           ;4,2                      ;22,39                                ;1,13                           ;1,21
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;28/01/2022    ;3/02/2022    ;90,3            ;3,96                     ;12,59                                ;4,14                           ;4,21
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;28/01/2022    ;3/02/2022    ;65,85           ;1,55                     ;39,44                                ;5,16                           ;5,23
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;28/01/2022    ;3/02/2022    ;53,73           ;7,1                      ;44,25                                ;1,13                           ;1,21
Colombia;En Tránsito      ;En reparto           ;No            ;Si  ;Si         ;No            ;No         ;No ;28/01/2022    ;3/02/2022    ;71,06           ;1,63                     ;36,99                                ;4,14                           ;4,21
Colombia;En Tránsito      ;En reparto           ;No            ;Si  ;Si         ;No            ;No         ;No ;28/01/2022    ;3/02/2022    ;85,37           ;40,55                    ;229,96                               ;0,96                           ;1,21
Colombia;Entregado        ;En reparto           ;Si            ;Si  ;Si         ;No            ;No         ;No ;28/01/2022    ;2/02/2022    ;71,92           ;32,33                    ;8,4                                  ;1,1                            ;1,18
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;Si            ;No         ;No ;28/01/2022    ;1/02/2022    ;33,87           ;5,05                     ;                                     ;                               ;0,03
Colombia;Entregado        ;En reparto           ;Si            ;Si  ;Si         ;Si            ;No         ;No ;28/01/2022    ;1/02/2022    ;126,97          ;82,67                    ;                                     ;                               ;0,15
Colombia;Entregado        ;En aduana            ;No            ;No  ;Si         ;Si            ;No         ;No ;28/01/2022    ;4/02/2022    ;                ;                         ;                                     ;                               ;0,58
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;Si            ;No         ;No ;28/01/2022    ;1/02/2022    ;65,63           ;75,6                     ;                                     ;                               ;0,1
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;28/01/2022    ;1/02/2022    ;19,81           ;160,21                   ;                                     ;                               ;0,13
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;Si            ;No         ;No ;28/01/2022    ;1/02/2022    ;67,97           ;32,56                    ;                                     ;                               ;0,07
Colombia;Entregado        ;En aduana            ;Si            ;Si  ;Si         ;Si            ;No         ;No ;29/01/2022    ;2/02/2022    ;44,47           ;30,67                    ;                                     ;                               ;0,05
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;29/01/2022    ;2/02/2022    ;48,74           ;20,64                    ;                                     ;                               ;0,05
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;Si            ;No         ;No ;29/01/2022    ;1/02/2022    ;36,94           ;147,25                   ;                                     ;                               ;0,13
Colombia;En Tránsito      ;En reparto           ;No            ;No  ;Si         ;No            ;No         ;No ;29/01/2022    ;7/02/2022    ;                ;                         ;                                     ;                               ;0,42
Colombia;Entregado        ;En aduana            ;Si            ;Si  ;Si         ;No            ;No         ;No ;29/01/2022    ;1/02/2022    ;12,9            ;36,84                    ;                                     ;                               ;0,03
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;Si            ;No         ;No ;30/01/2022    ;7/02/2022    ;25,88           ;1323,95                  ;                                     ;                               ;0,94
Colombia;En Bodega        ;Retenido             ;No            ;Si  ;No         ;No            ;No         ;No ;30/01/2022    ;7/02/2022    ;8,15            ;9,58                     ;32,96                                ;                               ;
Colombia;Entregado        ;En reparto           ;No            ;No  ;Si         ;No            ;No         ;No ;30/01/2022    ;9/02/2022    ;                ;                         ;                                     ;                               ;0,44
Colombia;Entregado        ;En aduana            ;No            ;No  ;Si         ;Si            ;No         ;No ;30/01/2022    ;1/02/2022    ;                ;                         ;                                     ;                               ;0,45
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;30/01/2022    ;4/02/2022    ;32,39           ;79,62                    ;11,76                                ;3,16                           ;3,24
Colombia;Entregado        ;En reparto           ;Si            ;No  ;Si         ;Si            ;No         ;No ;30/01/2022    ;1/02/2022    ;                ;                         ;                                     ;                               ;0,28
Colombia;Entregado        ;En aduana            ;No            ;No  ;Si         ;Si            ;No         ;No ;30/01/2022    ;3/02/2022    ;                ;                         ;                                     ;                               ;0,41
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;Si            ;No         ;No ;30/01/2022    ;2/02/2022    ;46,62           ;24,16                    ;                                     ;                               ;0,05
Colombia;Entregado        ;En aduana            ;Si            ;Si  ;Si         ;No            ;No         ;No ;30/01/2022    ;7/02/2022    ;85,41           ;987,39                   ;130,03                               ;0,17                           ;1,01
Colombia;Entregado        ;En reparto           ;Si            ;Si  ;Si         ;No            ;No         ;No ;30/01/2022    ;3/02/2022    ;25,05           ;16,32                    ;                                     ;                               ;0,03
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;30/01/2022    ;2/02/2022    ;39,75           ;103,01                   ;                                     ;                               ;0,1
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;30/01/2022    ;1/02/2022    ;3,35            ;66,02                    ;                                     ;                               ;0,05
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;31/01/2022    ;2/02/2022    ;119,69          ;39,6                     ;                                     ;                               ;0,11
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;Si            ;No         ;No ;31/01/2022    ;4/02/2022    ;60,27           ;3,05                     ;                                     ;                               ;0,04
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;Si            ;No         ;No ;31/01/2022    ;1/02/2022    ;21,81           ;34,61                    ;                                     ;                               ;0,04
Colombia;Entregado        ;En reparto           ;No            ;No  ;Si         ;Si            ;No         ;No ;31/01/2022    ;4/02/2022    ;                ;                         ;82                                   ;2,93                           ;3,09
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;No            ;No         ;No ;31/01/2022    ;1/02/2022    ;22,39           ;15,37                    ;                                     ;                               ;0,03
Colombia;Entregado        ;En aduana            ;Si            ;Si  ;Si         ;No            ;No         ;No ;31/01/2022    ;7/02/2022    ;1213,3          ;114,24                   ;                                     ;                               ;0,92
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;31/01/2022    ;4/02/2022    ;8,14            ;14,31                    ;                                     ;                               ;0,02
Colombia;Entregado        ;En aduana            ;Si            ;Si  ;Si         ;Si            ;No         ;No ;31/01/2022    ;1/02/2022    ;155,66          ;72,51                    ;                                     ;                               ;0,16
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;Si            ;No         ;No ;31/01/2022    ;2/02/2022    ;51,89           ;17,8                     ;                                     ;                               ;0,05
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;Si            ;No         ;No ;31/01/2022    ;1/02/2022    ;35,98           ;85,29                    ;268,15                               ;0,96                           ;1,23
Colombia;Entregado        ;En aduana            ;No            ;No  ;Si         ;Si            ;No         ;No ;31/01/2022    ;7/02/2022    ;                ;                         ;7,79                                 ;1,2                            ;1,64
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;Si            ;No         ;No ;31/01/2022    ;1/02/2022    ;0,93            ;24,02                    ;                                     ;                               ;0,02
Colombia;En Bodega        ;Retenido             ;No            ;Si  ;No         ;No            ;No         ;No ;31/01/2022    ;3/02/2022    ;64,17           ;1123,41                  ;100,99                               ;                               ;
Colombia;Entregado        ;En reparto           ;Si            ;Si  ;Si         ;Si            ;No         ;No ;31/01/2022    ;3/02/2022    ;5,53            ;33,28                    ;                                     ;                               ;0,03
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;Si            ;No         ;No ;31/01/2022    ;2/02/2022    ;30,14           ;5,83                     ;                                     ;                               ;0,02
Colombia;Entregado        ;En aduana            ;Si            ;Si  ;Si         ;Si            ;No         ;No ;31/01/2022    ;7/02/2022    ;1246,16         ;77,88                    ;                                     ;                               ;0,92
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;No            ;No         ;No ;31/01/2022    ;1/02/2022    ;12,78           ;37,81                    ;                                     ;                               ;0,04
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;31/01/2022    ;3/02/2022    ;18,16           ;10,51                    ;                                     ;                               ;0,02
Colombia;Entregado        ;En aduana            ;No            ;No  ;Si         ;Si            ;No         ;No ;31/01/2022    ;4/02/2022    ;                ;                         ;                                     ;                               ;0,5
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;Si            ;No         ;No ;31/01/2022    ;1/02/2022    ;64,43           ;46,96                    ;                                     ;                               ;0,08
Colombia;Entregado        ;En aduana            ;Si            ;Si  ;Si         ;Si            ;No         ;No ;31/01/2022    ;3/02/2022    ;103,75          ;39,51                    ;                                     ;                               ;0,1
Colombia;Entregado        ;En reparto           ;No            ;No  ;Si         ;Si            ;No         ;No ;31/01/2022    ;2/02/2022    ;                ;                         ;                                     ;                               ;0,57
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;Si            ;No         ;No ;31/01/2022    ;4/02/2022    ;8,48            ;59,98                    ;                                     ;                               ;0,05
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;No            ;No         ;No ;31/01/2022    ;2/02/2022    ;66,51           ;9,07                     ;31,9                                 ;6,15                           ;6,22
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;No            ;No         ;No ;31/01/2022    ;2/02/2022    ;61,73           ;21,34                    ;21,13                                ;1,1                            ;1,17
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;No            ;No         ;No ;31/01/2022    ;7/02/2022    ;225,27          ;45,74                    ;                                     ;                               ;1,15
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;No            ;No         ;No ;31/01/2022    ;2/02/2022    ;44,51           ;100,93                   ;                                     ;                               ;1,23
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;No            ;No         ;No ;31/01/2022    ;2/02/2022    ;37,68           ;15,5                     ;26,96                                ;1,1                            ;1,16
Colombia;Entregado        ;En reparto           ;Si            ;Si  ;Si         ;Si            ;No         ;No ;31/01/2022    ;1/02/2022    ;10,34           ;12,88                    ;                                     ;                               ;0,02
Colombia;Entregado        ;En reparto           ;Si            ;Si  ;Si         ;Si            ;No         ;No ;31/01/2022    ;1/02/2022    ;25,9            ;60,4                     ;                                     ;                               ;0,06
Colombia;Entregado        ;En aduana            ;Si            ;Si  ;Si         ;No            ;No         ;No ;31/01/2022    ;4/02/2022    ;33,79           ;48,3                     ;                                     ;                               ;0,06
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;No            ;No         ;No ;31/01/2022    ;8/02/2022    ;103,83          ;23,81                    ;                                     ;                               ;0,09
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;No            ;No         ;No ;31/01/2022    ;3/02/2022    ;37,7            ;8,33                     ;                                     ;                               ;0,03
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;31/01/2022    ;7/02/2022    ;188,18          ;62,46                    ;                                     ;                               ;0,17
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;31/01/2022    ;1/02/2022    ;3,65            ;39,17                    ;                                     ;                               ;0,03
Colombia;Entregado        ;En aduana            ;Si            ;No  ;Si         ;Si            ;No         ;No ;31/01/2022    ;1/02/2022    ;                ;                         ;                                     ;                               ;0,47
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;31/01/2022    ;3/02/2022    ;121,23          ;1120,72                  ;                                     ;                               ;0,86
Colombia;Entregado        ;En reparto           ;No            ;No  ;Si         ;Si            ;No         ;No ;31/01/2022    ;1/02/2022    ;                ;                         ;                                     ;                               ;0,61
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;No            ;No         ;No ;31/01/2022    ;2/02/2022    ;44,06           ;24,88                    ;1211,82                              ;0,26                           ;1,15
Colombia;En Bodega        ;                     ;No            ;Si  ;No         ;No            ;No         ;No ;31/01/2022    ;8/02/2022    ;686,66          ;-1,82                    ;1580,48                              ;                               ;
Colombia;Entregado        ;En aduana            ;Si            ;Si  ;Si         ;Si            ;No         ;No ;31/01/2022    ;4/02/2022    ;13,54           ;44,88                    ;                                     ;                               ;0,04
Colombia;En Tránsito      ;En reparto           ;No            ;Si  ;Si         ;No            ;No         ;No ;31/01/2022    ;1/02/2022    ;33,95           ;11,04                    ;                                     ;                               ;0,03
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;31/01/2022    ;4/02/2022    ;4,4             ;15,61                    ;                                     ;                               ;0,01
Colombia;Entregado        ;En aduana            ;Si            ;Si  ;Si         ;Si            ;No         ;No ;31/01/2022    ;9/02/2022    ;202,27          ;247,22                   ;                                     ;                               ;0,31
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;31/01/2022    ;4/02/2022    ;2,48            ;6,83                     ;                                     ;                               ;0,01
Colombia;Entregado        ;En aduana            ;No            ;Si  ;Si         ;Si            ;No         ;No ;31/01/2022    ;1/02/2022    ;8,2             ;55,34                    ;                                     ;                               ;0,04
Colombia;Entregado        ;En reparto           ;No            ;Si  ;Si         ;No            ;No         ;No ;31/01/2022    ;3/02/2022    ;53,58           ;1141,18                  ;                                     ;                               ;0,83
